%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212695, 2017/09/27 23:0:50.97)
56 673 1.821491e-01 1.766318e+00  3.221112556887865130e-01  7.068359217862389965e-01  1.884693223557742936e+00  1.012794436843317136e+01
57 685 1.733266e-01 1.780133e+00  3.221112556887865130e-01  7.189439347962878202e-01  1.948947938361042187e+00  1.046280764668519048e+01
58 697 1.710268e-01 1.802852e+00  3.221112556887865130e-01  9.880956940132308297e-01  2.272864271148184567e+00  7.743121579349744543e+00
59 709 1.682224e-01 1.816090e+00  3.020758755271261142e-01  3.020758755271261142e-01  2.571479822492949374e+00  1.693238255204499509e+01
60 721 1.693962e-01 1.817289e+00  3.020758755271261142e-01  5.079304319774641252e-01  1.199976738382769526e+00  2.242935518999925382e+00
61 733 1.701074e-01 1.827748e+00  3.020758755271261142e-01  5.069513188428029782e-01  1.122551319697127070e+00  3.514529672183560827e+00
62 745 1.764331e-01 1.844682e+00  3.020758755271261142e-01  3.132704942087550792e-01  8.405910555139537443e-01  1.481293031529998139e+00
63 757 1.785565e-01 1.860899e+00  3.020758755271261142e-01  7.040251266752751702e-01  2.570313050096189489e+00  5.305330934367186835e+00
64 769 1.765013e-01 1.870899e+00  3.020758755271261142e-01  3.891252961433657731e-01  1.776108786916329674e+00  7.975537061362365066e+00
65 781 1.784339e-01 1.888532e+00  3.020758755271261142e-01  7.117225551377365234e-01  2.128264304167586385e+00  1.083162774276465257e+01
66 793 1.757056e-01 1.900529e+00  3.020758755271261142e-01  4.559145991889120286e-01  1.702374980908731628e+00  6.964531228476047886e+00
67 805 1.739052e-01 1.935211e+00  3.020758755271261142e-01  6.408239539241036287e-01  1.802722419310376800e+00  6.269630986267833883e+00
68 817 1.699084e-01 1.946518e+00  3.020758755271261142e-01  4.013753092512690190e-01  1.976245194514098191e+00  6.507157398740622156e+00
69 829 1.628346e-01 1.950358e+00  3.020758755271261142e-01  3.882660561583510250e-01  1.380270763941624512e+00  5.085510844107405504e+00
70 841 1.565298e-01 1.977680e+00  3.020758755271261142e-01  6.473454388031427698e-01  1.438992150089783983e+00  3.234695045239682099e+00
71 853 1.543064e-01 1.981200e+00  3.020758755271261142e-01  6.855949360693273098e-01  1.473796349672944483e+00  5.772457284223328600e+00
72 865 1.570920e-01 1.983340e+00  3.020758755271261142e-01  6.749639003268240733e-01  1.400102506790776857e+00  2.573381497260350592e+00
73 877 1.581684e-01 1.982665e+00  3.020758755271261142e-01  7.341647914815138121e-01  2.121903907287591817e+00  3.872298225311938236e+00
74 889 1.509138e-01 1.984998e+00  3.020758755271261142e-01  5.862011052895734764e-01  2.068005740828321670e+00  7.072700959729689707e+00
75 901 1.428783e-01 1.991820e+00  3.020758755271261142e-01  4.957621537676276668e-01  1.165375972512558089e+00  3.532858201737918424e+00
76 913 1.339966e-01 1.993000e+00  3.020758755271261142e-01  5.860034181950212195e-01  1.089663692916151394e+00  2.508022076397476763e+00
77 925 1.278857e-01 1.993720e+00  3.020758755271261142e-01  3.262079328802327538e-01  9.258428548122783486e-01  3.341351538666675225e+00
78 937 1.235468e-01 1.993614e+00  3.020758755271261142e-01  3.271813508541250859e-01  1.611752752848094605e+00  3.889303433525501674e+00
79 949 1.202416e-01 2.007311e+00  3.020758755271261142e-01  4.244839481982320417e-01  7.998844283799984023e-01  2.779514406734967302e+00
80 961 1.205439e-01 2.037577e+00  2.529805980417630940e-01  2.529805980417630940e-01  1.161531385911861669e+00  2.462349431736219785e+00
81 973 1.173814e-01 2.037879e+00  2.529805980417630940e-01  3.555995357230756770e-01  8.657650898454495314e-01  3.424797709241771404e+00
82 985 1.162955e-01 2.035318e+00  2.529805980417630940e-01  3.018838912709769784e-01  9.595748540080999422e-01  2.124256816798619774e+00
83 997 1.157669e-01 2.048655e+00  2.529805980417630940e-01  2.977822199230785172e-01  4.598480623882212903e-01  1.709109593283987927e+00
84 1009 1.144113e-01 2.051191e+00  2.448599065970743227e-01  2.448599065970743227e-01  8.262484337843268856e-01  3.848876683682236344e+00
85 1021 1.159889e-01 2.053680e+00  2.351106896162675486e-01  2.351106896162675486e-01  7.100823206572599577e-01  2.724167729037866081e+00
86 1033 1.165740e-01 2.070344e+00  1.678999519739569068e-01  1.678999519739569068e-01  5.847579187281637392e-01  1.143827354743869096e+00
87 1045 1.179183e-01 2.114571e+00  1.678999519739569068e-01  3.152146302191268235e-01  9.452317267085208474e-01  4.268603638662434641e+00
88 1057 1.220202e-01 2.156837e+00  1.472104365834258077e-01  1.472104365834258077e-01  6.217129826459885100e-01  2.099749230150829593e+00
89 1069 1.220290e-01 2.178239e+00  1.472104365834258077e-01  1.491694388365354118e-01  4.188244002265049115e-01  1.754243021051037799e+00
90 1081 1.228542e-01 2.213045e+00  1.472104365834258077e-01  1.806878804384537129e-01  6.045903286316223202e-01  3.554547439799902175e+00
91 1093 1.241987e-01 2.266308e+00  1.472104365834258077e-01  2.571151082116234221e-01  7.223252729959441787e-01  2.064722406946116084e+00
92 1105 1.249997e-01 2.303675e+00  7.244729831610935422e-02  7.244729831610935422e-02  6.924877184827045173e-01  2.151637219430440062e+00
93 1117 1.246271e-01 2.328733e+00  7.244729831610935422e-02  2.522742569383373823e-01  7.552716180176251015e-01  1.416930644148557183e+00
94 1129 1.242149e-01 2.344266e+00  7.244729831610935422e-02  1.608599257961636775e-01  8.532887551248716784e-01  3.273403686222805309e+00
95 1141 1.259876e-01 2.364699e+00  7.244729831610935422e-02  1.625252945997670007e-01  5.937272382040599261e-01  2.465394376150290778e+00
96 1153 1.293571e-01 2.419346e+00  7.244729831610935422e-02  2.058778281970639057e-01  8.911771426460078915e-01  1.674396965228321044e+00
97 1165 1.262385e-01 2.458342e+00  7.244729831610935422e-02  1.533759974155825545e-01  5.596231661978289251e-01  1.416989985775600758e+00
98 1177 1.225309e-01 2.473422e+00  7.244729831610935422e-02  1.445371717006024292e-01  7.765280109085606064e-01  1.495004648830393634e+00
99 1189 1.181344e-01 2.473720e+00  7.244729831610935422e-02  1.795751830146986028e-01  7.191690003364969996e-01  3.032285424668205387e+00
100 1201 1.126683e-01 2.496660e+00  7.244729831610935422e-02  1.409315907756731878e-01  6.116163926159059461e-01  1.492794561190546210e+00
101 1213 1.067467e-01 2.518619e+00  7.244729831610935422e-02  1.823977978070518147e-01  5.569033251526580575e-01  1.593292387117414499e+00
102 1225 1.005359e-01 2.531392e+00  7.244729831610935422e-02  1.911286884889079885e-01  3.268452198513326357e-01  1.022336986083955956e+00
103 1237 1.010369e-01 2.530646e+00  7.244729831610935422e-02  2.696040963301939430e-01  3.871705247035607256e-01  8.980397782766086356e-01
104 1249 1.002172e-01 2.539120e+00  7.244729831610935422e-02  2.246337759841737780e-01  4.811309934388038334e-01  1.016466213591996626e+00
105 1261 9.832656e-02 2.614648e+00  7.244729831610935422e-02  1.422325529571131231e-01  3.328532902616865297e-01  1.345375978897929592e+00
106 1273 1.000042e-01 2.809188e+00  7.244729831610935422e-02  2.101188651361581283e-01  3.550621391547825745e-01  1.439892444150027151e+00
107 1285 9.962576e-02 2.839224e+00  7.244729831610935422e-02  3.561069406249826041e-01  6.615164209537685025e-01  1.557802471889061957e+00
108 1297 1.009168e-01 2.907902e+00  5.072830042988487470e-02  5.072830042988487470e-02  3.478318440482749407e-01  2.009193202706195613e+00
109 1309 1.026261e-01 2.936909e+00  5.072830042988487470e-02  1.483985988804393530e-01  6.202575238238162703e-01  1.207188381500461594e+00
110 1321 1.080852e-01 2.946094e+00  5.072830042988487470e-02  8.916105537187257735e-02  3.884854210769049243e-01  1.695492162031242200e+00
